ComputerName;SerialNumber;WhenCreated;FiveYearDate;DaysUntilFiveYears
DSIMAR3019;;8.08.2022;8.08.2027;482
DSIMAR3020;B22G270722001;8.08.2022;8.08.2027;482
DSIMAR3021;;8.08.2022;8.08.2027;482
DSIMAR3023;;8.08.2022;8.08.2027;482
DSIMAR3024;;8.08.2022;8.08.2027;482
DSIMAR3025;;8.08.2022;8.08.2027;482
DSIMAR3026;;8.08.2022;8.08.2027;482
DSIMAR3027;;8.08.2022;8.08.2027;482
DSIMAR3028;;8.08.2022;8.08.2027;482
DSIMAR3029;B22G270722002;8.08.2022;8.08.2027;482
DSIMAR3030;;8.08.2022;8.08.2027;482
DSIMAR3031;;8.08.2022;8.08.2027;482
DSIMAR3032;;30.01.2024;30.01.2029;1023
DSIMAR3033;;30.01.2024;30.01.2029;1023
MININT-RAJV4F6;;13.04.2026;13.04.2031;1826
MSIMAR1001;CND95101G4;10.01.2020;10.01.2025;-458
MSIMAR1003;CND0193XH2;17.06.2020;17.06.2025;-300
MSIMAR1004;CND041536H;9.11.2020;9.11.2025;-155
MSIMAR1005;CND1419PZ3;15.11.2021;15.11.2026;216
MSIMAR1006;CND1419PZ2;22.11.2021;22.11.2026;223
MSIMAR1007;CND3090HFP;21.12.2023;21.12.2028;983
MSIMAR1008;PW0G7PVV;21.05.2025;21.05.2030;1499
MSIMAR1009;PW0G427F;22.05.2025;22.05.2030;1500
MSIMAR1010;PW0G7PW7;28.05.2025;28.05.2030;1506
MSIMAR1011;PW0G7PVS;28.05.2025;28.05.2030;1506
MSIMAR1012;PW0G427D;2.02.2026;2.02.2031;1756
MSIMAR1013;PW0G7PVY;4.02.2026;4.02.2031;1758
MSIMAR2001;CND4160018;25.04.2024;25.04.2029;1108
MININT-G9S720H;1H84393RK9;26.09.2025;26.09.2030;1627
NSIMAR1050;;8.01.2026;8.01.2031;1731
NSIMAR1056;5CG8344WP5;20.03.2023;20.03.2028;707
NSIMAR1059;5CG8423G7Z;30.10.2018;30.10.2023;-896
NSIMAR1067;5CG9353MZR;31.07.2025;31.07.2030;1570
NSIMAR1071;5CG9444LWY;26.10.2023;26.10.2028;927
NSIMAR1072;5CG9439SCP;17.01.2025;17.01.2030;1375
NSIMAR1073;5CG9450V3F;12.04.2021;12.04.2026;-1
NSIMAR1077;;13.01.2026;13.01.2031;1736
NSIMAR1079;5CG0125JNR;7.04.2020;7.04.2025;-371
NSIMAR1080;5CG01365KZ;9.04.2020;9.04.2025;-369
NSIMAR1081;5CG012BC3S;19.10.2021;19.10.2026;189
NSIMAR1082;5CG026BK60;11.02.2025;11.02.2030;1400
NSIMAR1083;5CG9521848;24.08.2020;24.08.2025;-232
NSIMAR1084;5CG0322ZX3;25.08.2020;25.08.2025;-231
NSIMAR1085;5CG038BL3Q;5.10.2020;5.10.2025;-190
NSIMAR1088;5CG052CKZD;18.01.2021;18.01.2026;-85
NSIMAR1089;5CG0518TKC;7.11.2022;7.11.2027;573
NSIMAR1090;5CG1110NCC;30.03.2021;30.03.2026;-14
NSIMAR1092;5CG1110NCJ;7.04.2021;7.04.2026;-6
NSIMAR1093;5CG1110NCD;22.04.2023;22.04.2028;740
NSIMAR1095;5CD201KGDQ;31.01.2024;31.01.2029;1024
NSIMAR1097;5CD221276C;6.06.2022;6.06.2027;419
NSIMAR1099;5CG21554VZ;6.07.2022;6.07.2027;449
NSIMAR1101;5CD227F737;18.08.2022;18.08.2027;492
NSIMAR1102;5CD227DBCB;22.08.2022;22.08.2027;496
NSIMAR1103;5CD227F73C;24.08.2022;24.08.2027;498
NSIMAR1104;5CD227F73B;29.08.2022;29.08.2027;503
NSIMAR1105;5CD227DBC8;2.12.2024;2.12.2029;1329
NSIMAR1106;5CD227F739;5.09.2022;5.09.2027;510
NSIMAR1107;5CD227F734;2.07.2024;2.07.2029;1176
NSIMAR1108;5CD227F736;12.09.2022;12.09.2027;517
NSIMAR1109;5CD227DBC9;15.11.2022;15.11.2027;581
NSIMAR1110;5CD2437YJ9;19.01.2023;19.01.2028;646
NSIMAR1111;5CD227F738;10.02.2023;10.02.2028;668
NSIMAR1112;5CD30770MX;13.11.2024;13.11.2029;1310
NSIMAR1113;5CD310JX8W;17.04.2023;17.04.2028;735
NSIMAR1114;5CD3145JHG;19.04.2023;19.04.2028;737
NSIMAR1115;5CD3158W5R;9.05.2023;9.05.2028;757
NSIMAR1116;5CD3158W5Q;9.05.2023;9.05.2028;757
NSIMAR1117;5CD3144NM3;10.05.2023;10.05.2028;758
NSIMAR1118;5CG2510QTC;11.05.2023;11.05.2028;759
NSIMAR1119;5CD315FS7L;12.05.2023;12.05.2028;760
NSIMAR1120;5CD313719T;23.05.2023;23.05.2028;771
NSIMAR1121;5CD3194YQ1;6.06.2023;6.06.2028;785
NSIMAR1122;5CD316CSZ3;27.06.2023;27.06.2028;806
NSIMAR1123;5CD325BQ5T;17.09.2024;17.09.2029;1253
NSIMAR1124;5CD325BQ5S;9.01.2025;9.01.2030;1367
NSIMAR1125;5CD325BQ5V;14.11.2024;14.11.2029;1311
NSIMAR1126;5CG3272XV2;20.07.2023;20.07.2028;829
NSIMAR1127;5CD30439TB;21.08.2023;21.08.2028;861
NSIMAR1128;5CG33908LD;20.10.2023;20.10.2028;921
NSIMAR1129;5CD3029WFX;26.10.2023;26.10.2028;927
NSIMAR1130;5CG3484S3W;14.12.2023;14.12.2028;976
NSIMAR1131;5CG3484S3X;18.12.2023;18.12.2028;980
NSIMAR1132;5CD345F709;8.01.2024;8.01.2029;1001
NSIMAR1133;5CD3497XJ2;11.01.2024;11.01.2029;1004
NSIMAR1134;1H84200NFH;13.06.2024;13.06.2029;1157
NSIMAR1135;1H84241BMX;20.09.2024;20.09.2029;1256
NSIMAR1136;5CD3447T8Z;15.11.2024;15.11.2029;1312
NSIMAR1137;5CG4400YLZ;20.11.2024;20.11.2029;1317
NSIMAR1138;5CG4400YM0;26.11.2024;26.11.2029;1323
NSIMAR1139;1H850116CJ;27.01.2025;27.01.2030;1385
NSIMAR1140;1H850116CK;29.01.2025;29.01.2030;1387
NSIMAR1141;1H8506172Y;25.02.2025;25.02.2030;1414
NSIMAR1142;5CG5115FRQ;7.04.2025;7.04.2030;1455
NSIMAR1143;1H85121BY9;8.05.2025;8.05.2030;1486
NSIMAR1144;5CG5192T6N;26.05.2025;26.05.2030;1504
NSIMAR1145;5CG51721WX;12.05.2025;12.05.2030;1490
NSIMAR1146;5CG5150K44;21.05.2025;21.05.2030;1499
NSIMAR1147;5CD5244NS5;30.06.2025;30.06.2030;1539
NSIMAR1148;5CG5242NYD;30.06.2025;30.06.2030;1539
NSIMAR1149;5CG5261JNC;11.07.2025;11.07.2030;1550
NSIMAR1150;1H850116CL;16.07.2025;16.07.2030;1555
NSIMAR1151;5CD5276YCN;28.07.2025;28.07.2030;1567
NSIMAR1152;5CG5282ZS4;28.07.2025;28.07.2030;1567
NSIMAR1153;5CD5281Y40;28.07.2025;28.07.2030;1567
NSIMAR1154;5CD531292K;3.09.2025;3.09.2030;1604
NSIMAR1155;5CD5307ZBB;3.09.2025;3.09.2030;1604
NSIMAR1156;5CD5357L4W;15.09.2025;15.09.2030;1616
NSIMAR1157;5CD5376FZM;7.10.2025;7.10.2030;1638
NSIMAR1158;1H84432KPQ;20.10.2025;20.10.2030;1651
NSIMAR1159;5CD5403XMW;2.12.2025;2.12.2030;1694
NSIMAR1160;5CD54237RZ;3.12.2025;3.12.2030;1695
NSIMAR1161;;4.12.2025;4.12.2030;1696
NSIMAR1162;;22.12.2025;22.12.2030;1714
NSIMAR1163;;19.12.2025;19.12.2030;1711
NSIMAR1164;;15.12.2025;15.12.2030;1707
NSIMAR1165;5CD54230KJ;27.11.2025;27.11.2030;1689
NSIMAR1166;;15.12.2025;15.12.2030;1707
NSIMAR1167;5CD5438WLT;5.12.2025;5.12.2030;1697
NSIMAR1168;5CD5438WLR;3.12.2025;3.12.2030;1695
NSIMAR1169;;9.01.2026;9.01.2031;1732
NSIMAR1170;5CD5385KW5;28.11.2025;28.11.2030;1690
NSIMAR1171;1H86032W0;16.02.2026;16.02.2031;1770
NSIMAR1172;1H86032WG1;3.02.2026;3.02.2031;1757
NSIMAR1173;1H86051ZGD;17.02.2026;17.02.2031;1771
NSIMAR1174;;9.04.2026;9.04.2031;1822
NSIMAR2007;5CG0172KRW;12.05.2020;12.05.2025;-336
NSIMAR2011;;20.05.2020;20.05.2025;-328
NSIMAR2014;5CG1110NCF;20.04.2021;20.04.2026;7
NSIMAR2020;5CB3380Z18;30.10.2013;30.10.2018;-2722
NSIMAR2021;5CD5308MKG;25.08.2025;25.08.2030;1595
NSIMAR2025;;18.11.2025;18.11.2030;1680
NSIMAR2031;5CD221276B;6.06.2022;6.06.2027;419
NSIMAR2040;5CG7140K86;14.04.2017;14.04.2022;-1460
NSIMAR2044;5CG014G2M0;4.05.2020;4.05.2025;-344
NSIMAR2046;5CG0518TKD;16.02.2021;16.02.2026;-56
NSIMAR2047;5CG1110NCB;30.03.2021;30.03.2026;-14
NSIMAR2055;5CG1110NCG;29.03.2021;29.03.2026;-15
NSIMAR2056;5CD2257LKT;21.07.2022;21.07.2027;464
NSIMAR2057;5CG2344ZNP;6.07.2023;6.07.2028;815
NSIMAR2058;5CD227F733;30.09.2022;30.09.2027;535
NSIMAR2059;5CD2384CKB;8.11.2022;8.11.2027;574
NSIMAR2060;5CD2384CK9;13.02.2023;13.02.2028;671
NSIMAR2061;5CD227F735;15.02.2023;15.02.2028;673
NSIMAR2062;5CD30770MY;17.04.2023;17.04.2028;735
NSIMAR2063;5CD3158W5P;4.05.2023;4.05.2028;752
NSIMAR2064;5CD3144NM4;18.05.2023;18.05.2028;766
NSIMAR2065;5CD3497XJ1;22.12.2023;22.12.2028;984
NSIMAR2066;5CD411C5HQ;3.04.2024;3.04.2029;1086
NSIMAR2068;5CG4222LQ5;17.06.2024;17.06.2029;1161
NSIMAR2069;5CG4222LQ6;24.06.2024;24.06.2029;1168
NSIMAR2070;5CG44728DH;6.12.2024;6.12.2029;1333
NSIMAR2071;1H85134HJD;17.04.2025;17.04.2030;1465
NSIMAR2072;5CG5252XCX;8.07.2025;8.07.2030;1547
NSIMAR2073;5CD5385KW6;24.11.2025;24.11.2030;1686
NSIMAR2074;5CD5438WLV;8.12.2025;8.12.2030;1700
NSIMAR2075;5CD546BP7L;9.12.2025;9.12.2030;1701
NSIMAR2076;;13.01.2026;13.01.2031;1736
NSIMAR2078;1H86051ZGC;17.02.2026;17.02.2031;1771
NSIMAR2088;5CD22179Y4;1.08.2025;1.08.2030;1571
NSIMAR2045;5CD0404KQ5;13.10.2020;13.10.2025;-182
WSIMAR1007;5CD0274TVY;19.11.2021;19.11.2026;220
WSIMAR1008;5CD037CFXH;6.05.2024;6.05.2029;1119
WSIMAR1009;5CD0404KQ4;12.10.2020;12.10.2025;-183
WSIMAR1015;CND1385L93;11.10.2021;11.10.2026;181
WSIMAR1017;CND1422NFT;11.09.2023;11.09.2028;882
WSIMAR1018;CND21814JX;26.05.2022;26.05.2027;408
WSIMAR1019;CND21814JW;26.05.2022;26.05.2027;408
WSIMAR1020;CND2203CYC;14.06.2022;14.06.2027;427
WSIMAR1021;CND2281TYL;23.08.2022;23.08.2027;497
WSIMAR1022;CND2213HJF;29.09.2022;29.09.2027;534
WSIMAR1023;CND2290T19;22.11.2022;22.11.2027;588
WSIMAR1024;CND248109M;13.04.2023;13.04.2028;731
WSIMAR1027;5CD319821D;29.04.2024;29.04.2029;1112
WSIMAR1028;5CG531291K;26.08.2025;26.08.2030;1596
WSIMAR1030;5CG3490T3C;10.01.2024;10.01.2029;1003
WSIMAR1031;5CG41923N4;3.06.2024;3.06.2029;1147
WSIMAR1034;5CD451B72V;8.01.2025;8.01.2030;1366
WSIMAR1036;5CD5105N9S;27.03.2025;27.03.2030;1444
WSIMAR1037;5CG5414T3P;22.12.2025;22.12.2030;1714
WSIMAR1039;5CG5421FR9;7.01.2026;7.01.2031;1730
WSIMAR1040;5CG6033K7S;4.02.2026;4.02.2031;1758
WSIMAR2003;CND1074CWT;29.03.2021;29.03.2026;-15
WSIMAR2004;CND110075V;13.04.2021;13.04.2026;0
WSIMAR2007;CND2201WB1;15.06.2022;15.06.2027;428
WSIMAR2008;CND2214K7K;16.11.2022;16.11.2027;582
WSIMAR2010;CND2201W02;7.12.2022;7.12.2027;603
WSIMAR2011;CND2201W03;1.03.2023;1.03.2028;688
WSIMAR2013;5CG3477984;19.12.2023;19.12.2028;981
WSIMAR2014;5CG440102Q;17.10.2024;17.10.2029;1283
WSIMAR2015;;21.10.2024;21.10.2029;1287
WSIMAR2016;5CG440102W;24.10.2024;24.10.2029;1290
WSIMAR2018;5CN440102R;24.10.2024;24.10.2029;1290
WSIMAR2019;5CG440102M;4.11.2024;4.11.2029;1301
WSIMAR2020;5CG440102N;8.11.2024;8.11.2029;1305
WSIMAR2021;5CG440102T;12.11.2024;12.11.2029;1309
WSIMAR2022;5CG440102P;21.11.2024;21.11.2029;1318
WSIMAR2023;5CG440102V;16.09.2025;16.09.2030;1617
WSIMAR2024;1H853732BX;30.09.2025;30.09.2030;1631
WSIMAR2040;5CG440102S;28.07.2025;28.07.2030;1567
DSIMAR2001;CZC71588GX;31.08.2011;31.08.2016;-3512
DSIMAR2012;;30.08.2019;30.08.2024;-591
WSIMAR1002;CZC922918R;4.11.2024;4.11.2029;1301
WSIMAR1003;CZC949DZNT;16.12.2019;16.12.2024;-483
WSIMAR1004;CZC0028TWS;17.01.2020;17.01.2025;-451
WSIMAR1005;CZC002CB66;11.02.2020;11.02.2025;-426
WSIMAR1011;CZC046B0YK;15.07.2024;15.07.2029;1189
WSIMAR1016;CZC2078Z8V;28.02.2022;28.02.2027;321
WSIMAR1025;CZC3247JM3;11.07.2023;11.07.2028;820
WSIMAR1026;CZC3427D2Q;10.11.2023;10.11.2028;942
WSIMAR1032;CZC4307L6S;20.08.2024;20.08.2029;1225
WSIMAR1033;CZC43670V7;17.10.2024;17.10.2029;1283
WSIMAR1035;CZC506790W;17.02.2025;17.02.2030;1406
WSIMAR1038;CZC5487TBS;23.12.2025;23.12.2030;1715
WSIMAR1041;CZC606751Y;16.02.2026;16.02.2031;1770
WSIMAR2005;CZC2119MPL;28.03.2022;28.03.2027;349
WSIMAR2006;CZC2138Y04;12.04.2022;12.04.2027;364
WSIMAR2009;CZC217B856;28.11.2022;28.11.2027;594
WSIMAR2012;CZC3237FXV;21.06.2023;21.06.2028;800